Compound,Similarity,Smiles,,,,Smiles
CHEMBL7335,1, OC(=O)[C@H](CS)NC(=O)C1=C(Br)C=CC=C1,,,,
CHEMBL7204,1, NNC1=CC=C(C=C1)S(N)(=O)=O,,,,
CHEMBL7182,1, CC(C)(C)NCC(O)COC(=O)CCCC1=CC=CC=C1,,,,
CHEMBL7337,1, CC1=C(C=CC=C1)C(=O)OCC(O)CNC(C)(C)C,,,,
CHEMBL7336,1, CC(C)(C)NCC(O)COC(=O)C1=CC=NC=C1,,,,
CHEMBL7092,1, NC1=C(Cl)C=C(C=C1)S(N)(=O)=O,,,,
CHEMBL7087,1, NCCC1=CC=C(C=C1)S(N)(=O)=O,,,,
CHEMBL7518,1, CC[C@H](C)[C@H](NC(=O)C1=C(Br)C=CC=C1)C(O)=O,,,,
CHEMBL7024,1, CC(C)(C)NCC(O)COC(=O)C1=C(F)C=CC=C1,,,,
CHEMBL6999,1, CC(C)(C)NCC(O)COC(=O)C1=CC=C(C=C1)[N+]([O-])=O,,,,
CHEMBL7268,1, COCCOCCOC(=O)\\C=C(/C)\\C=C\\C=C(/C)\\C=C\\C1=C(C)CCCC1(C)C,,,,
CHEMBL7112,1, NCCCC[C@H](NC(=O)C1=C(Br)C=CC=C1)C(O)=O,,,,
CHEMBL7181,1, CNC(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,,,,
CHEMBL7332,1, CC(C)NCC(O)COC(=O)C1=CC(OCC=C)=CC=C1,,,,
CHEMBL21,1, NC1=CC=C(C=C1)S(N)(=O)=O,,,,
CHEMBL7085,1, CC(=O)NCC1=CC(CN)=CC=C1,,,,
CHEMBL6920,1, CC(C)NCC(O)COC1=C(C)C=CC=C1,,,,
CHEMBL6919,1, NS(=O)(=O)C1=CC=C(CO)C=C1,,,,
CHEMBL13,1, COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,,,,
CHEMBL7249,1, CC(=O)NCC(C)(C)NCC(O)COC(=O)C1=C(F)C=CC=C1,,,,
CHEMBL6853,1, NC1=C(F)C=C(C=C1)S(N)(=O)=O,,,,
CHEMBL6852,1, NC1=CC=CC(=C1)S(N)(=O)=O,,,,
CHEMBL7154,1, CC(C)NCC(O)COC1=CC=CC=C1,,,,
CHEMBL20,1, CC(=O)NC1=NN=C(S1)S(N)(=O)=O,,,,
CHEMBL6737,1, COC1=CC(C[C@@H](C)N)=C(OC)C=C1,,,,
CHEMBL6915,1, CCC(NC(=O)C(CS)C(C)C1=CC=CC=C1)C(O)=O,,,,
CHEMBL30,1, CNC(NCCSCC1=C(C)N=CN1)=NC#N,,,,
CHEMBL3310244,1, CCC(C)NC(C)C(O)C1=CC=CC=C1,,,,
CHEMBL3310225,1, CCCCCCCCCCCCCCCC(=O)NC1=C(C)C(C)=C(O)C(C)=N1,,,,
CHEMBL6957,1, CC(C)NCC(O)COC(=O)C1=CC(C)=CC=C1,,,,
CHEMBL6931,1, CC(C)C(=O)C1=C(O)C(C(=O)C(C)C)=C(O)C=C1O,,,,
CHEMBL7234,1, CC(C)(C)NCC(O)COC(=O)C1=CC=C(C=O)C=C1,,,,
CHEMBL6840,1, CC(C)NCC(O)COC(=O)C1=CC=C(C)C=C1,,,,
CHEMBL6863,1, CC(C)NCC(O)COC(=O)C1=CC=C(F)C=C1,,,,
CHEMBL6981,1, CC(C)NCC(O)COC(=O)C1=CC(F)=CC=C1,,,,
CHEMBL6974,1, CC(C)NCC(O)COC(=O)C1=CC=C(CO)C=C1,,,,
CHEMBL7307,1, CCCOC1=CC=CC(=C1)C(=O)OCC(O)CNC(C)C,,,,
CHEMBL7306,1, CSCC[C@H](NC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,,,,
CHEMBL6724,1, NC1=C(Br)C=C(C=C1)S(N)(=O)=O,,,,
CHEMBL7303,1, COC(=O)C1=CCCN(C)C1,,,,
CHEMBL6300,1, COC(=O)C(N)CNC(=O)NC1=CC=C(C=C1)[N+]([O-])=O,,,,
CHEMBL6882,1, CC(C)(C)NCC(O)COC(=O)C1=CC=C(OCC=C)C=C1,,,,
CHEMBL6559,1, CCCN(NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@@H](NC(=O)[C@H](CC(O)=O)NC(C)=O)[C@@H](C)O)C(C)C)C(C)C)C(=O)CCC,,,,
CHEMBL6255,1, COCCCNC(=O)\\C=C\\C1=CC=C(C=C1)C(C)C,,,,
CHEMBL6251,1, N[C@@H](CCC(=O)NC1=CC=C(C=C1)[N+]([O-])=O)C(O)=O,,,,
CHEMBL6784,1, NS(=O)(=O)C1=CC=C(CCO)C=C1,,,,
CHEMBL1159,1, CC(N\\C(NC1=CC=NC=C1)=N/C#N)C(C)(C)C,,,,
CHEMBL3309715,1, CC1(C[N+](C)(C)C)COCCO1,,,,
CHEMBL6607,1, COC1=CC(Br)=C(OC)C=C1CC(C)N,,,,
CHEMBL6878,1, CC(C)(C)NCC(O)COC(=O)C1=CC=C(N)C=C1,,,,
CHEMBL6602,1, NCC(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(O)=O,,,,
CHEMBL6705,1, NC1=C(C=CC=C1)S(N)(=O)=O,,,,
CHEMBL6870,1, CN(C)S(=O)(=O)NCC(C)(C)NCC(O)COC(=O)C1=C(F)C=CC=C1,,,,
CHEMBL6267,1, COC(=O)C(N)COC(=O)NC1=CC=C(C=C1)[N+]([O-])=O,,,,
CHEMBL3309897,1, CC(=O)NC1=C(C)C(C)=C(O)C(C)=N1,,,,
CHEMBL3309676,1, CC(=O)NCCOC1=C(C=CC(Br)=C1)C(=O)NCCCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,,,,
